Random_ID;WORRIED;HEALTHY;FEWFOOD;SKIPPED;ATELESS;RUNOUT;HUNGRY;WHLDAY;wt;year;N_adults;N_child;Raw_score;Raw_score_par;Raw_score_par_error;Prob_Mod_Sev;Prob_sev;Age;Education;Area;Gender;Income;
181283035,00;1;0;0;1;0;0;0;0;1,27;2014;03;01;2,00;-1,01;0,56;0,10;0,00;47,00;2;6;1;1;
201904273,00;0;0;1;0;0;0;0;0;0,99;2014;02;01;1,00;-1,63;0,68;0,03;0,00;33,00;2;8;2;3;
173717327,00;1;0;0;0;0;1;0;0;0,37;2014;01;00;2,00;-1,01;0,56;0,10;0,00;63,00;1;8;2;5;
186404496,00;1;1;1;0;0;0;0;0;0,77;2014;03;00;3,00;-0,52;0,53;0,35;0,00;48,00;2;8;2;2;
157617077,00;1;0;1;1;0;0;1;0;1,04;2014;04;00;4,00;-0,05;0,52;0,69;0,00;64,00;1;8;2;3;
161505589,00;0;0;0;0;0;0;0;0;1,27;2014;03;01;0,00;-2,13;0,89;0,00;0,00;50,00;3;8;1;5;
127476778,00;1;1;0;1;0;0;0;0;2,60;2014;04;01;3,00;-0,52;0,53;0,35;0,00;25,00;2;8;1;4;
185109619,00;1;0;0;1;1;0;0;1;1,18;2014;03;01;4,00;-0,05;0,52;0,69;0,00;29,00;1;8;2;3;
209642117,00;0;0;0;0;0;0;0;0;2,00;2014;06;02;0,00;-2,13;0,89;0,00;0,00;15,00;1;8;2;1;
155674172,00;0;0;0;0;0;0;0;0;1,30;2014;04;00;0,00;-2,13;0,89;0,00;0,00;45,00;2;6;2;4;
158425001,00;0;0;0;0;0;0;0;0;1,13;2014;02;02;0,00;-2,13;0,89;0,00;0,00;23,00;2;8;2;1;
144514468,00;0;0;0;0;0;0;0;0;0,65;2014;02;00;0,00;-2,13;0,89;0,00;0,00;54,00;2;8;2;4;
140775865,00;0;0;0;0;0;0;0;0;0,80;2014;02;03;0,00;-2,13;0,89;0,00;0,00;15,00;2;8;2;1;
166379782,00;0;0;0;0;0;0;0;0;1,20;2014;03;00;0,00;-2,13;0,89;0,00;0,00;23,00;2;8;2;5;
162593806,00;0;0;0;0;0;0;0;0;0,91;2014;03;00;0,00;-2,13;0,89;0,00;0,00;63,00;2;8;1;5;
162466036,00;0;0;0;0;0;0;0;0;0,97;2014;03;00;0,00;-2,13;0,89;0,00;0,00;50,00;1;8;2;4;
178963676,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;74,00;1;8;2;5;
184114432,00;0;0;0;0;0;0;0;0;0,85;2014;02;00;0,00;-2,13;0,89;0,00;0,00;46,00;2;8;1;4;
204044718,00;0;0;0;0;0;0;0;0;1,23;2014;03;01;0,00;-2,13;0,89;0,00;0,00;40,00;2;8;2;4;
174702690,00;0;0;0;0;0;0;0;0;1,95;2014;03;00;0,00;-2,13;0,89;0,00;0,00;30,00;2;8;1;3;
154481086,00;0;0;0;0;0;0;0;0;1,23;2014;03;00;0,00;-2,13;0,89;0,00;0,00;44,00;2;8;2;5;
156766105,00;0;0;0;0;0;0;0;0;2,62;2014;06;00;0,00;-2,13;0,89;0,00;0,00;21,00;2;8;1;5;
130047181,00;1;1;1;1;1;1;1;1;1,59;2014;04;02;8,00;2,25;0,89;1,00;0,66;23,00;1;8;2;1;
201565007,00;1;0;0;0;1;0;0;0;0,37;2014;01;00;2,00;-1,01;0,56;0,10;0,00;45,00;1;8;2;4;
